""	"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"
"YCL041C"	106.041293260618	3.38251381001045	0.296354675532319	11.4137352614218	3.5705994699613e-30	3.36352546000279e-29
"YCL042W"	118.021298854317	3.08113428080412	0.2842660751704	10.8389095637148	2.2513848313145e-27	1.94549667889991e-26
"YCL046W"	9.43822782284904	6.09082513444533	1.30291547469414	4.67476613237337	2.94288784738878e-06	8.1969012451022e-06
"YCL047C"	438.914552548579	1.26840426034144	0.147161058203874	8.61915696871528	6.74488414629286e-18	4.06260168700037e-17
"YCL048W-A"	114.501827369807	3.5478424821449	0.424148914829058	8.36461525210965	6.03114078976415e-17	3.44082952979414e-16
"YCL049C"	893.389316826738	1.01055992971848	0.147083966791778	6.87063282124482	6.39177194972616e-12	2.78207347254367e-11
"YCL052C"	1039.52074368084	1.22970317876658	0.100823142351669	12.1966361103625	3.23931694032326e-34	3.3698255361533e-33
"YCL054W"	557.4459787125	-3.89134363574294	0.234780731504359	-16.5743739309829	1.06769092030003e-61	1.91152067802886e-60
"YCL058W-A"	51.755290307564	-9.34198685984473	1.2006171659987	-7.78098724923181	7.19607488781452e-15	3.73700010800689e-14
"YCL059C"	604.407159212423	-3.94332483220884	0.199400911408333	-19.7758616264983	4.80548162049675e-87	1.29768026593498e-85
"YCL061C"	112.662336837489	-1.67397238601836	0.295972883552844	-5.65583024337931	1.5509470292784e-08	5.3071212760049e-08
"YCL064C"	9314.65971397958	1.46118195175526	0.0769717429933596	18.9833553838234	2.34153514537244e-80	5.7921714798316e-79
"YCL067C"	19.8466191285443	1.45921993875978	0.434775467342211	3.35626098611316	0.00079003976256591	0.00163743130834335
"YCR004C"	4375.07670639787	1.17727966812692	0.135516748589961	8.68733702938128	3.71034133082796e-18	2.27715172017955e-17
"YCR005C"	2245.02018715258	1.32742032714362	0.123218741937628	10.7728768064808	4.62325410255756e-27	3.95816510418436e-26
"YCR007C"	98.0025234429087	1.10372710190278	0.19679510339156	5.60850896633703	2.04077127965381e-08	6.90304731912126e-08
"YCR010C"	137.273225561208	1.99872831723608	0.195499981663454	10.223675215872	1.55337312337369e-24	1.22177320541079e-23
"YCR016W"	179.718871591467	-2.80061059897797	0.208178624546729	-13.4529210435307	2.95946285087942e-41	3.68143545807092e-40
"YCR020W-B"	24.304164453059	1.95226405945224	0.444474759146066	4.39229454379584	1.12160605401428e-05	2.93228270918376e-05
"YCR024C-B"	6459.69356265014	-1.01568146784538	0.34414307678598	-2.95133488469688	0.00316403663109823	0.00599068694307555
"YCR030C"	3203.44472620356	1.29409833434337	0.149789694014454	8.63943506165714	5.64916634167296e-18	3.42811302063506e-17
"YCR034W"	3828.99233253811	-1.05951499662817	0.103831635662508	-10.2041635949182	1.89950668927405e-24	1.48859768478659e-23
"YCR035C"	477.582479939862	-1.14017995502044	0.185817755276932	-6.1360118860611	8.46188287439812e-10	3.18475394361058e-09
"YCR039C"	19.8466191285443	1.45921993875978	0.434775467342211	3.35626098611316	0.00079003976256591	0.00163743130834335
"YCR047C"	549.293087257463	-2.40362934686068	0.207955318660744	-11.558393227643	6.69497736474482e-31	6.39972688804e-30
"YCR051W"	1153.43536195465	-1.43573601503946	0.188617385173462	-7.61189650529343	2.70102815721517e-14	1.36440868954883e-13
"YCR057C"	1987.26123660067	-2.87018273301166	0.105307957925104	-27.2551361697941	1.44451167310263e-163	9.75195849310221e-162
"YCR059C"	1143.57606748863	-1.22553772349249	0.165532809943187	-7.40359403016904	1.32547227929875e-13	6.41073570308598e-13
"YCR061W"	938.283662561682	2.21893733523025	0.157075995957644	14.1265208710095	2.60709910060704e-45	3.47666857428688e-44
"YCR068W"	1069.27142571744	1.20323859312914	0.163528997309121	7.35795249116974	1.86752482249595e-13	8.97880443219307e-13
"YCR069W"	3794.24995883191	1.16183121384512	0.154841924904624	7.50333744921313	6.22131197008366e-14	3.06851772283959e-13
"YCR072C"	1092.69349280721	-2.23643958820486	0.125446313431958	-17.8278621907682	4.29533968623862e-71	9.09741715899101e-70
"YCR073W-A"	1392.00276124836	1.16684579211916	0.179198442196299	6.51147285555624	7.44174777400204e-11	3.0181456397564e-10
"YCR075C"	1021.24898044075	1.21871574828145	0.18757554245396	6.49719964733985	8.18288401168438e-11	3.31044140322887e-10
"YCR076C"	883.727561412523	1.21407116815774	0.156266238459693	7.76924804823338	7.89534208313904e-15	4.09030471949034e-14
"YCR079W"	1026.50555540001	1.03731911966835	0.150408402602505	6.89668330837702	5.32306659246059e-12	2.32471661628956e-11
"YCR087C-A"	205.289963300219	-2.63957243628091	0.201221569461565	-13.1177410222173	2.60587265620157e-39	3.08750652373718e-38
"YCR087W"	47.1699374276	-1.92270333722448	0.293071009945067	-6.56053745331164	5.36141860710553e-11	2.20198694503491e-10
"YCR091W"	323.047541479632	1.03499569249765	0.224787350137457	4.60433245849799	4.13790983724947e-06	1.13779353649613e-05
"YCR102C"	140.652499811466	-1.22656133989712	0.23413144044204	-5.23877245013044	1.61648201737618e-07	5.07332685453511e-07
"YDL003W"	440.243516653219	-1.07206423411244	0.167590029970888	-6.39694517805545	1.58516206869837e-10	6.26811187750709e-10
"YDL014W"	9749.23069721224	-2.77046856284423	0.119123918167283	-23.2570302040748	1.20763023765897e-119	5.04945262597922e-118
"YDL021W"	186.935006805173	2.46350501141914	0.206339334192285	11.9390954762093	7.40237933594965e-33	7.43795666299065e-32
"YDL022C-A"	6.05028081207882	2.85154390347932	1.08184569283771	2.63581388950179	0.00839357540853887	0.0148833822770836
"YDL022W"	51387.4209163358	6.15977833769138	0.127644302941995	48.2573698607651	0	0
"YDL023C"	151.616913075762	6.16139012205112	0.496636000255576	12.4062494842911	2.41712456539031e-35	2.59360667355871e-34
"YDL024C"	280.162188512987	3.23296066415518	0.196383337425393	16.4624998563506	6.82237115096447e-61	1.19825982193498e-59
"YDL025C"	841.84683620526	1.13488194420319	0.110229405103442	10.2956370229721	7.37299307463173e-25	5.85592746528042e-24
"YDL026W"	10.3126748880102	3.05904803709338	0.742401806514909	4.12047493722249	3.78092196588033e-05	9.26082965263431e-05
